date,codneg,preult,voltot
2017-01-02,AALR3,14.6,523505.0
2017-01-02,WIZS3,13.35,2087088.0
2017-01-03,AALR3,14.9,5314402.0
2017-01-03,WIZS3,13.64,861460.0
2017-01-04,AALR3,14.9,1746750.0
2017-01-04,WIZS3,14.3,1143541.0
2017-01-04,PSVM11,1.7,340.0
2017-01-05,AALR3,15.35,1885899.0
2017-01-05,WIZS3,14.51,1516766.0
2017-01-06,AALR3,15.45,2292524.0
2017-01-06,WIZS3,14.01,1188118.0
2017-01-09,AALR3,15.21,2641429.0
2017-01-09,WIZS3,13.95,657472.0
2017-01-10,AALR3,14.89,3740701.0
2017-01-10,WIZS3,13.7,749461.0
2017-01-11,AALR3,14.9,1985513.0
2017-01-11,WIZS3,13.68,698210.0
2017-01-12,AALR3,15.0,5064840.0
2017-01-12,WIZS3,13.85,1783479.0
2017-01-13,AALR3,15.0,3188433.0
2017-01-13,WIZS3,13.5,1073968.0
2017-01-16,AALR3,14.8,1567721.0
2017-01-16,WIZS3,13.78,1832722.0
2017-01-17,AALR3,14.8,3445879.0
2017-01-17,WIZS3,13.65,969296.0
2017-01-18,AALR3,15.02,2452963.0
2017-01-18,WIZS3,14.32,3370398.0
2017-01-19,AALR3,14.75,2526647.0
2017-01-19,WIZS3,14.36,1986630.0
2017-01-20,AALR3,14.45,5036959.0
2017-01-20,WIZS3,14.28,2331373.0
2017-01-23,AALR3,14.48,2334028.0
2017-01-23,WIZS3,14.01,1018425.0
2017-01-24,AALR3,14.39,2359199.0
2017-01-24,WIZS3,14.0,3209602.0
2017-01-26,AALR3,14.29,2455622.0
2017-01-26,WIZS3,14.32,2823188.0
2017-01-27,AALR3,14.25,1881958.0
2017-01-27,WIZS3,14.23,6354103.0
2017-01-30,AALR3,14.03,2063672.0
2017-01-30,WIZS3,14.11,451068.0
2017-01-31,AALR3,13.94,3116406.0
2017-01-31,WIZS3,14.1,457750.0
2017-01-31,PSVM11,1.94,6399.0
2017-02-01,AALR3,13.8,2282779.0
2017-02-01,WIZS3,14.06,3885487.0
2017-02-02,AALR3,13.67,1284404.0
2017-02-02,WIZS3,13.91,1681584.0
2017-02-03,AALR3,12.95,7398656.0
2017-02-03,WIZS3,13.9,25540021.0
2017-02-06,AALR3,12.85,4600558.0
2017-02-06,WIZS3,13.8,3590624.0
2017-02-07,AALR3,13.45,6689002.0
2017-02-07,WIZS3,13.8,7441593.0
2017-02-08,AALR3,13.4,2083157.0
2017-02-08,MOVI3,7.3,68711487.0
2017-02-08,WIZS3,13.85,5019575.0
2017-02-09,AALR3,13.25,3097053.0
2017-02-09,MOVI3,7.55,18457157.0
2017-02-09,WIZS3,13.79,1653417.0
2017-02-10,AALR3,13.47,1990205.0
2017-02-10,MOVI3,7.7,27698959.0
2017-02-10,WIZS3,13.8,12686486.0
2017-02-13,AALR3,13.5,7073517.0
2017-02-13,MOVI3,7.54,5253305.0
2017-02-13,WIZS3,13.91,27772007.0
2017-02-14,AALR3,13.61,1572580.0
2017-02-14,MOVI3,7.5,5823675.0
2017-02-14,WIZS3,13.81,4936343.0
2017-02-14,PARD3,20.7,213521317.0
2017-02-15,AALR3,13.48,2121924.0
2017-02-15,MOVI3,7.5,5182120.0
2017-02-15,WIZS3,14.65,120499452.0
2017-02-15,PARD3,20.6,11972458.0
2017-02-16,AALR3,13.27,3676864.0
2017-02-16,MOVI3,7.5,9582286.0
2017-02-16,WIZS3,14.6,26505595.0
2017-02-16,PARD3,20.45,14980398.0
2017-02-17,AALR3,13.05,2080454.0
2017-02-17,MOVI3,7.5,3452418.0
2017-02-17,WIZS3,15.0,21085188.0
2017-02-17,PARD3,20.5,4566954.0
2017-02-20,AALR3,13.12,1948521.0
2017-02-20,MOVI3,7.4,4504336.0
2017-02-20,WIZS3,15.15,2212949.0
2017-02-20,PARD3,20.59,11127515.0
2017-02-21,AALR3,12.99,1518766.0
2017-02-21,MOVI3,7.4,4418074.0
2017-02-21,WIZS3,15.0,10565437.0
2017-02-21,PARD3,20.67,7008424.0
2017-02-22,AALR3,12.91,460138.0
2017-02-22,MOVI3,7.57,4288778.0
2017-02-22,WIZS3,15.25,36846594.0
2017-02-22,PARD3,20.4,6526255.0
2017-02-23,AALR3,13.07,2037568.0
2017-02-23,MOVI3,7.56,1931012.0
2017-02-23,WIZS3,15.63,25728338.0
2017-02-23,PARD3,20.29,27114272.0
2017-02-24,AALR3,12.74,3077805.0
2017-02-24,MOVI3,7.65,3681782.0
2017-02-24,WIZS3,15.69,12112360.0
2017-02-24,PARD3,20.2,13345018.0
2017-02-24,PSVM11,1.81,7799.0
2017-03-01,AALR3,12.89,790201.0
2017-03-01,MOVI3,7.63,3574005.0
2017-03-01,WIZS3,16.22,6982030.0
2017-03-01,PARD3,20.05,4579720.0
2017-03-01,PSVM11,1.9,190.0
2017-03-02,AALR3,12.7,4098878.0
2017-03-02,MOVI3,7.5,452017.0
2017-03-02,WIZS3,16.0,30859640.0
2017-03-02,PARD3,19.98,7340070.0
2017-03-03,AALR3,12.51,3096044.0
2017-03-03,MOVI3,7.75,2526886.0
2017-03-03,WIZS3,16.15,3024288.0
2017-03-03,PARD3,20.3,2232921.0
2017-03-06,AALR3,12.09,7934645.0
2017-03-06,MOVI3,7.51,5618749.0
2017-03-06,WIZS3,16.23,3322676.0
2017-03-06,PARD3,20.4,4077987.0
2017-03-07,AALR3,12.67,9292211.0
2017-03-07,MOVI3,7.51,2589888.0
2017-03-07,WIZS3,16.5,2005408.0
2017-03-07,PARD3,20.12,3772969.0
2017-03-08,AALR3,12.99,2841846.0
2017-03-08,MOVI3,7.59,5353710.0
2017-03-08,WIZS3,16.1,6494193.0
2017-03-08,PARD3,20.35,6101035.0
2017-03-09,AALR3,13.0,884407.0
2017-03-09,MOVI3,7.56,6973814.0
2017-03-09,WIZS3,15.94,15243919.0
2017-03-09,PARD3,19.89,4948107.0
2017-03-10,AALR3,12.98,3247345.0
2017-03-10,MOVI3,7.7,2248417.0
2017-03-10,WIZS3,15.59,7071078.0
2017-03-10,PARD3,19.75,4007710.0
2017-03-13,AALR3,13.02,907428.0
2017-03-13,MOVI3,7.99,9494635.0
2017-03-13,WIZS3,15.6,4571770.0
2017-03-13,PARD3,19.7,4267772.0
2017-03-14,AALR3,13.21,5383624.0
2017-03-14,MOVI3,8.11,5211407.0
2017-03-14,WIZS3,15.7,7774480.0
2017-03-14,PARD3,19.75,1327672.0
2017-03-15,AALR3,13.3,2974842.0
2017-03-15,MOVI3,8.46,6976720.0
2017-03-15,WIZS3,16.34,22321659.0
2017-03-15,PARD3,20.01,1435168.0
2017-03-16,AALR3,13.25,313879.0
2017-03-16,MOVI3,8.6,9583089.0
2017-03-16,WIZS3,16.85,18810791.0
2017-03-16,PARD3,19.75,3253731.0
2017-03-17,AALR3,12.99,1288304.0
2017-03-17,MOVI3,8.47,7943721.0
2017-03-17,WIZS3,17.05,23513675.0
2017-03-17,PARD3,19.55,3806824.0
2017-03-20,AALR3,12.98,485879.0
2017-03-20,MOVI3,8.9,12518172.0
2017-03-20,WIZS3,17.38,11610948.0
2017-03-20,PARD3,19.99,6634261.0
2017-03-21,AALR3,13.01,2340907.0
2017-03-21,MOVI3,8.8,12379289.0
2017-03-21,WIZS3,17.29,8685629.0
2017-03-21,PARD3,19.5,3547422.0
2017-03-22,AALR3,13.0,1725872.0
